transaction_date,buyer_first_name,buyer_last_name,buyer_location,buyer_date_of_birth,payment_method,quantity_purchased,product_code,sales_representative,gender
45342,Allen,Santos,San Jose,20020,Credit Card,129,Pro04,Travis Doyle,Male
45366,Brenda,Shaw,San Jose,29346,Cash,370,Pro09,Joseph Hill,Female
45304,Robert,Hernandez,San Antonio,24237,Credit Card,284,Pro02,April Watkins,Other
45421,Alexander,Smith,San Jose,16696,Debit Card,90,Pro05,Elizabeth Guerrero,Male
45432,Mary,Rodriguez,Philadelphia,19682,Cash,475,Pro04,Tracy Lee,Female
45368,Clinton,Haynes,San Antonio,36953,Cash,346,Pro01,Sara Robertson,Male
45339,Jamie,Steele,San Diego,22039,Credit Card,366,Pro06,Katie Stanton,Other
45441,David,Hunt,Chicago,17357,Cash,122,Pro01,Susan Dean,Male
45410,Robert,Hernandez,San Antonio,35670,Debit Card,299,Pro02,Travis Doyle,Male
45329,Alexander,Smith,San Jose,28393,Credit Card,327,Pro09,Joseph Hill,Other
45473,Mary,Rodriguez,Philadelphia,27423,Cash,383,Pro04,April Watkins,Female
45337,Samantha,Wong,New York,17492,Cash,468,Pro10,April Watkins,Male
45321,Gregory,Gibson,San Jose,24246,Cash,220,Pro02,Elizabeth Guerrero,Other
45377,Robert,Hernandez,San Antonio,29620,Debit Card,272,Pro07,Tracy Lee,Other
45500,Alexander,Smith,San Jose,21285,Credit Card,270,Pro10,Sara Robertson,Male
45465,Mary,Rodriguez,Philadelphia,24448,Credit Card,201,Pro06,Katie Stanton,Other
45356,Sarah,Case,New York,23912,Cash,264,Pro05,Susan Dean,Male
45494,Taylor,Wilson,Philadelphia,23513,Credit Card,129,Pro05,Katie Stanton,Male
45473,Robert,Hernandez,San Antonio,19804,Cash,40,Pro08,Susan Dean,Other
45492,Alexander,Smith,San Jose,33975,Debit Card,177,Pro10,Susan Dean,Other
45339,Mary,Rodriguez,Philadelphia,17049,Debit Card,229,Pro03,Sara Robertson,Female
45391,Michelle,Gonzales,Philadelphia,26568,Mobile Payment,350,Pro07,Katie Stanton,Other
45419,Stephen,Ellis,Houston,20008,Credit Card,182,Pro10,Susan Dean,Male
45432,Robert,Hernandez,San Antonio,37513,Credit Card,174,Pro01,Katie Stanton,Other
45293,Alexander,Smith,San Jose,32046,Cash,428,Pro04,Susan Dean,Male
45455,Mary,Rodriguez,Philadelphia,32742,Debit Card,383,Pro01,April Watkins,Other
45393,Jason,Wilson,Houston,21086,Mobile Payment,425,Pro03,April Watkins,Male
45395,Terri,Bailey,Philadelphia,23729,Debit Card,205,Pro07,Elizabeth Guerrero,Other
45412,Robert,Hernandez,San Antonio,29933,Credit Card,434,Pro08,Tracy Lee,Male
45466,Alexander,Smith,San Jose,21892,Cash,384,Pro02,Sara Robertson,Other
45315,Mary,Rodriguez,Philadelphia,35938,Cash,337,Pro04,Katie Stanton,Female
45395,April,Mendez,Los Angeles,38920,Debit Card,197,Pro02,Susan Dean,Other
45500,Dennis,Norris,New York,26695,Cash,410,Pro07,Katie Stanton,Male
45414,Andrea,Davis,Dallas,31263,Mobile Payment,376,Pro10,Susan Dean,Other
45462,Teresa,Coleman,New York,19098,Mobile Payment,370,Pro02,Susan Dean,Other
45448,Justin,Sanchez,Dallas,20035,Debit Card,494,Pro08,Sara Robertson,Male
45371,Sean,Garcia,San Jose,36056,Debit Card,385,Pro04,Katie Stanton,Other
45347,Erica,Collins,Dallas,21451,Cash,276,Pro03,Susan Dean,Male
45389,Joseph,Perez,Phoenix,30949,Debit Card,205,Pro04,Katie Stanton,Other
45504,Monica,Hogan,Chicago,32604,Cash,212,Pro03,Susan Dean,Male
45313,Wendy,Olsen,Los Angeles,26317,Mobile Payment,381,Pro09,April Watkins,Other
45333,Kathy,Morris,Los Angeles,37889,Mobile Payment,242,Pro08,April Watkins,Male
45398,Mario,Rubio,San Jose,32552,Credit Card,88,Pro04,Elizabeth Guerrero,Other
45348,Julie,Ortiz,San Antonio,28546,Mobile Payment,432,Pro10,Tracy Lee,Male
45332,Nancy,Lee,San Jose,17318,Debit Card,484,Pro10,Sara Robertson,Other
45491,Christopher,Martin,Phoenix,26234,Mobile Payment,412,Pro08,Katie Stanton,Male
45387,Nathan,Williams,San Jose,20918,Credit Card,426,Pro02,Susan Dean,Other
45430,Donna,Jacobs,Chicago,20532,Cash,280,Pro09,Katie Stanton,Male
45389,Sherri,Watts,San Diego,23604,Mobile Payment,351,Pro01,Susan Dean,Other
45306,Brandon,Clark,San Jose,25449,Mobile Payment,121,Pro05,Susan Dean,Male
45464,Michael,Oneill,Los Angeles,33457,Mobile Payment,267,Pro04,Sara Robertson,Other
45504,Hannah,Gonzalez,Philadelphia,27390,Debit Card,407,Pro04,Katie Stanton,Other
45371,Joan,Hodges,San Diego,24373,Credit Card,66,Pro08,Susan Dean,Male
45361,Ryan,Gonzales,Houston,31440,Credit Card,500,Pro10,Katie Stanton,Other
45388,David,Romero,Los Angeles,20207,Debit Card,373,Pro09,Susan Dean,Other
45416,Shannon,Butler,New York,37595,Debit Card,397,Pro02,April Watkins,Male
45397,Theodore,Peterson,Los Angeles,25396,Cash,478,Pro02,April Watkins,Other
45342,Kathryn,Smith,Philadelphia,22557,Cash,428,Pro08,Elizabeth Guerrero,Male
45501,Marissa,Torres,Phoenix,26659,Debit Card,60,Pro10,Tracy Lee,Other
45499,Elizabeth,Nicholson,Houston,25425,Cash,400,Pro08,Sara Robertson,Female
45503,Edward,Roberts,Philadelphia,23982,Mobile Payment,395,Pro02,Katie Stanton,Other
45447,Matthew,Franklin,Chicago,18090,Debit Card,500,Pro02,Susan Dean,Male
45306,Lindsey,Oconnell,San Antonio,22139,Mobile Payment,70,Pro08,Katie Stanton,Other
45317,Kayla,Hall,Dallas,33896,Cash,271,Pro08,Susan Dean,Male
